flight number,airline,distance
A-927,Delta,227
B-98A,Delta,934
A-BB8,American Airlines,2000
A-775,Alaska Air,1634
I-76A,Spirit,1200
C-T13A,Jet Blue,1475
A-72AC,American Airlines,225
A-123,Spirit,374
I-9224,American Airlines,1928
I-835,Alaska Air,998
A-85A,Spirit,2400
B-86A,Spirit,294
A-94A,American Airlines,1273
A-B27,Alaska Air,475
C-2757,Delta,363
B-D25A,American Airlines,1924
B-23,Alaska Air,2247
A-94A,Jet Blue,1234
I-T1A,Spirit,754
I-RMSY,Spirit,399
A-DSNY,American Airlines,1475
B-P245,American Airlines,2225
B-724,Alaska Air,2500
I-9394,Delta,894
